experiment,hypothesis,changed_variable,baseline_experiment,expected_result,success_criteria,spy_mcts_gate,multi_asset_mcts_gate,overall_gate,hypothesis_supported,decision,primary_failure_mode,next_recommended_experiment,leakage_level,contract_review_passed,spy_mcts_cagr_delta_vs_buy_hold,spy_mcts_sharpe_delta_vs_buy_hold,spy_mcts_calmar_delta_vs_buy_hold,spy_mcts_max_drawdown_delta_vs_buy_hold,spy_mcts_turnover_delta_vs_buy_hold,spy_mcts_cagr_delta_vs_regime_rule_spy_cash,spy_mcts_sharpe_delta_vs_regime_rule_spy_cash,spy_mcts_calmar_delta_vs_regime_rule_spy_cash,spy_mcts_max_drawdown_delta_vs_regime_rule_spy_cash,spy_mcts_turnover_delta_vs_regime_rule_spy_cash,spy_mcts_cagr_delta_vs_regime_rule_multiasset,spy_mcts_sharpe_delta_vs_regime_rule_multiasset,spy_mcts_calmar_delta_vs_regime_rule_multiasset,spy_mcts_max_drawdown_delta_vs_regime_rule_multiasset,spy_mcts_turnover_delta_vs_regime_rule_multiasset,multi_asset_mcts_cagr_delta_vs_buy_hold,multi_asset_mcts_sharpe_delta_vs_buy_hold,multi_asset_mcts_calmar_delta_vs_buy_hold,multi_asset_mcts_max_drawdown_delta_vs_buy_hold,multi_asset_mcts_turnover_delta_vs_buy_hold,multi_asset_mcts_cagr_delta_vs_regime_rule_spy_cash,multi_asset_mcts_sharpe_delta_vs_regime_rule_spy_cash,multi_asset_mcts_calmar_delta_vs_regime_rule_spy_cash,multi_asset_mcts_max_drawdown_delta_vs_regime_rule_spy_cash,multi_asset_mcts_turnover_delta_vs_regime_rule_spy_cash,multi_asset_mcts_cagr_delta_vs_regime_rule_multiasset,multi_asset_mcts_sharpe_delta_vs_regime_rule_multiasset,multi_asset_mcts_calmar_delta_vs_regime_rule_multiasset,multi_asset_mcts_max_drawdown_delta_vs_regime_rule_multiasset,multi_asset_mcts_turnover_delta_vs_regime_rule_multiasset
benchmark_v1,Baseline settings provide the reference for all exploratory full-sample experiments.,none,benchmark_v1,Establish stable benchmark metrics and diagnostic artifacts.,MCTS is at least a WEAK PASS versus Regime Rule SPY/Cash.,WEAK PASS,FAIL,FAIL,inconclusive,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.07583081496960453,-0.21031079736305158,-0.167130459765225,0.07641665606647019,0.20253394762366633,-0.009657355254429678,0.02526938684269675,-0.013908475383071828,0.022434283102362507,0.167131425800194,-0.07101992787098088,-0.23907155566420546,-0.23059160443696636,0.022434283102362396,0.1312439379243453,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_horizon_10,MCTS horizon of 5 is too short and may overreact to short-term noise; a 10-day horizon can better capture regime drift and stabilize root action values.,mcts.horizon,benchmark_v1,SPY-only MCTS Sharpe or Calmar improves versus benchmark_v1 without unacceptable turnover growth.,SPY MCTS gate remains WEAK PASS or better and Sharpe or Calmar delta improves versus benchmark_v1.,WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.06047696355335885,-0.08387876950777795,-0.0561935909763665,0.11351906292962732,0.20489815712900095,0.005696496161816,0.15170141469797038,0.09702839340578667,0.05953668996551964,0.1694956353055286,-0.0556660764547352,-0.11263952780893183,-0.11965473564810786,0.05953668996551953,0.1336081474296799,-0.10336374122371983,-0.48868981671323347,-0.2629602487642049,0.09241366775723103,0.7670950533462658,-0.037190281508544976,-0.25310963250748514,-0.10973826438205173,0.03843129479312335,0.7316925315227935,-0.09855285412509618,-0.5174505750143874,-0.3264213934359462,0.03843129479312324,0.6958050436469447
exp_inertia_001,MCTS turnover is too high; a stronger action inertia threshold can reduce small value-edge switches and improve risk-adjusted performance.,mcts.action_inertia_threshold,benchmark_v1,SPY-only MCTS turnover decreases versus benchmark_v1 without lowering Sharpe or Calmar.,"SPY MCTS gate remains WEAK PASS or better, turnover decreases, and Sharpe or Calmar does not deteriorate versus benchmark_v1.",WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.06528699628070744,-0.13873504138156556,-0.13784799210914578,0.06618313579629209,0.1892580019398642,0.0008864634344674105,0.09684514282418277,0.015373992273007397,0.012200762832184409,0.15385548011639186,-0.06047610918208379,-0.16749579968271944,-0.20130913678088713,0.012200762832184298,0.11796799224054316,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_inertia_002,MCTS turnover is too high; a stronger action inertia threshold can reduce small value-edge switches and improve risk-adjusted performance.,mcts.action_inertia_threshold,benchmark_v1,SPY-only MCTS turnover decreases versus benchmark_v1 without lowering Sharpe or Calmar.,"SPY MCTS gate remains WEAK PASS or better, turnover decreases, and Sharpe or Calmar does not deteriorate versus benchmark_v1.",WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.07756228195073334,-0.22336431963338255,-0.07888130929926734,0.148521203433287,0.16319107662463628,-0.011388822235558482,0.012215864572365787,0.07434067508288583,0.09453883046917932,0.12778855480116394,-0.07275139485210969,-0.2521250779345364,-0.1423424539710087,0.09453883046917921,0.09190106692531524,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_prior_band_025,A tighter prior band reduces turnover but may over-constrain SPY allocation.,mcts.prior_band,benchmark_v1,Turnover decreases relative to benchmark_v1 with limited Sharpe loss.,SPY MCTS turnover delta improves while gate remains WEAK PASS or better.,WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.07583081496960453,-0.21031079736305158,-0.167130459765225,0.07641665606647019,0.20253394762366633,-0.009657355254429678,0.02526938684269675,-0.013908475383071828,0.022434283102362507,0.167131425800194,-0.07101992787098088,-0.23907155566420546,-0.23059160443696636,0.022434283102362396,0.1312439379243453,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_prior_band_050,A wider prior band allows enough exploration while still preserving prior guidance.,mcts.prior_band,benchmark_v1,Similar or better MCTS Sharpe versus benchmark_v1.,SPY MCTS gate remains WEAK PASS or better.,WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.07583081496960453,-0.21031079736305158,-0.167130459765225,0.07641665606647019,0.20253394762366633,-0.009657355254429678,0.02526938684269675,-0.013908475383071828,0.022434283102362507,0.167131425800194,-0.07101992787098088,-0.23907155566420546,-0.23059160443696636,0.022434283102362396,0.1312439379243453,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_prior_band_100,Prior band has an upper range that can free SPY-only MCTS from the Regime Rule prior without the noisier full action grid behavior.,mcts.prior_band,benchmark_v1,SPY-only MCTS improves Sharpe or Calmar versus benchmark_v1 while turnover remains controlled.,SPY MCTS gate remains WEAK PASS or better and Calmar does not deteriorate versus benchmark_v1.,FAIL,FAIL,FAIL,False,REJECT,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.08211607937914,-0.3130474132338129,-0.22470312924936084,0.03219094641945841,0.33244422890397674,-0.015942619663965152,-0.07746722902806458,-0.07148114486720766,-0.021791426544649273,0.29704170708050437,-0.07730519228051635,-0.3418081715349668,-0.2881642739211022,-0.021791426544649384,0.2611542192046557,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_prior_full_grid,Full action grid improves decision quality by removing prior-induced action censorship.,mcts.use_full_action_grid,benchmark_v1,Sharpe or CAGR improves without unacceptable drawdown deterioration.,SPY MCTS gate is PASS or improves Sharpe delta versus benchmark_v1.,FAIL,FAIL,FAIL,False,REJECT,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.08211607937914,-0.3130474132338129,-0.22470312924936084,0.03219094641945841,0.33244422890397674,-0.015942619663965152,-0.07746722902806458,-0.07148114486720766,-0.021791426544649273,0.29704170708050437,-0.07730519228051635,-0.3418081715349668,-0.2881642739211022,-0.021791426544649384,0.2611542192046557,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_reward_low_risk_penalty,The benchmark reward is too conservative; lowering both drawdown penalty and opportunity cost improves SPY-only MCTS without fully removing risk control.,mcts.drawdown_penalty and mcts.opportunity_cost_weight,benchmark_v1,"SPY-only MCTS improves CAGR, Sharpe, or Calmar versus benchmark_v1 while drawdown remains close to Regime Rule SPY/Cash.",SPY MCTS gate remains WEAK PASS or better and either Sharpe or Calmar delta improves versus benchmark_v1.,FAIL,FAIL,FAIL,False,REJECT,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.08414849732197571,-0.31376360901740497,-0.19895191983811428,0.07650650300662898,0.20210960232783703,-0.01797503760680086,-0.07818342481165663,-0.0457299354559611,0.022524130042521295,0.1667070805043647,-0.07933761022335206,-0.34252436731855884,-0.26241306450985563,0.022524130042521184,0.130819592628516,-0.05724211138907842,-0.14117429976828932,-0.1389441960349294,0.03671579376921674,0.7506062075654705,0.008931348326096433,0.09440588443745901,0.014277788347223763,-0.01726657919489094,0.7152036857419981,-0.05243122429045477,-0.1699350580694432,-0.20240534070667077,-0.017266579194891052,0.6793161978661494
exp_reward_risk,Light risk and opportunity penalties improve risk-adjusted returns versus simple reward.,mcts.drawdown_penalty and mcts.opportunity_cost_weight,benchmark_v1,Sharpe and max drawdown improve versus exp_reward_simple.,SPY MCTS Sharpe delta versus Regime Rule SPY/Cash is positive.,WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.07583081496960453,-0.21031079736305158,-0.167130459765225,0.07641665606647019,0.20253394762366633,-0.009657355254429678,0.02526938684269675,-0.013908475383071828,0.022434283102362507,0.167131425800194,-0.07101992787098088,-0.23907155566420546,-0.23059160443696636,0.022434283102362396,0.1312439379243453,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_reward_simple,Removing risk and opportunity penalties reveals whether reward penalties caused conservatism.,mcts.drawdown_penalty and mcts.opportunity_cost_weight,benchmark_v1,"CAGR improves, possibly with worse drawdown.",SPY MCTS CAGR delta versus Regime Rule SPY/Cash improves without FAIL gate.,WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.06626784935012275,-0.1457308747652143,-0.1803472899091699,0.02258969943528777,0.19695683802133848,-9.438963494790009e-05,0.08984930944053404,-0.027125305527016724,-0.031392673528819914,0.16155431619786614,-0.0614569622514991,-0.17449163306636817,-0.24380843458091125,-0.031392673528820025,0.12566682832201745,-0.06408262681632171,-0.19817402351205426,-0.1778688384229857,0.016833203296488297,0.7595780795344327,0.0020908328988531455,0.03740616069369407,-0.024646854040832528,-0.037149169667619386,0.7241755577109603,-0.05927173971769806,-0.22693478181320814,-0.24132998309472706,-0.0371491696676195,0.6882880698351116
exp_sampler_daily,Independent daily sampling underperforms path sampling because it loses serial structure.,mcts.sampler,benchmark_v1,Lower Sharpe or CAGR than path sampling.,Used as a negative/control comparison; no PASS required.,WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.07699515047654226,-0.22164093340928792,-0.12046321583076858,0.12062863707340687,0.19919980601357903,-0.010821690761367408,0.013939250796460412,0.0327587685513846,0.06664626410929919,0.1637972841901067,-0.07218426337791861,-0.2504016917104418,-0.18392436050250993,0.06664626410929908,0.127909796314258,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
exp_sampler_path,Path sampling preserves short-horizon return structure and improves MCTS decisions.,mcts.sampler,benchmark_v1,Sharpe or CAGR improves versus exp_sampler_daily.,SPY MCTS gate remains WEAK PASS or better and beats daily sampler on Sharpe.,WEAK PASS,FAIL,FAIL,True,KEEP_EXPLORATORY,multi_asset_turnover_too_high,Test MultiAsset template persistence or turnover damping in a single-variable experiment.,exploratory_full_sample,True,-0.07583081496960453,-0.21031079736305158,-0.167130459765225,0.07641665606647019,0.20253394762366633,-0.009657355254429678,0.02526938684269675,-0.013908475383071828,0.022434283102362507,0.167131425800194,-0.07101992787098088,-0.23907155566420546,-0.23059160443696636,0.022434283102362396,0.1312439379243453,-0.07548877044451707,-0.2802654088078913,-0.20154036515476556,0.034172452281194476,0.7570320077594569,-0.009315310729342219,-0.04468522460214297,-0.048318380772612385,-0.019809920682913207,0.7216294859359845,-0.07067788334589342,-0.3090261671090452,-0.26500150982650694,-0.019809920682913318,0.6857419980601358
